gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,ClearScore,ChaseBaseScore,HoldBaseScore,CommitmentBonus,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth
26,child0,child,2.6316,1.000,0.000,1.000,0.000,1.000,43.850,1.790,74.000,0.953,15.050,1600,981.1,103,63.31,9.921,1.731,0.6,0.9691,33.9,0.02157,29.33,11.86,15.94,30.32,26.35,9.029,35.94,82.84,40.1,23.16,0.6473,0.9,0.7097,0.3263,0.805
26,child1,child,6.7234,2.000,0.000,2.000,0.000,3.000,75.983,1.887,73.000,1.047,15.050,1527,900,109,52.52,9.996,1.8,0.6145,0.8643,35.58,0.02068,36.03,8.35,12.6,38.68,27.81,8.524,36.97,77.25,40.97,20.05,0.3758,0.9,0.7,0.2639,1
26,child2,child,6.6969,2.000,0.000,2.000,0.000,3.000,75.717,1.887,75.000,1.060,15.050,1554,1014,144.7,68.1,6.473,1.8,0.6819,0.9908,26.62,0.02324,29.51,7.819,12.59,33.49,23.25,10.52,45.26,71.29,38.5,23.48,0.5,0.9,0.7124,0.2939,1
26,child3,child,6.6849,2.000,0.000,2.000,0.000,3.000,75.033,1.888,75.000,1.047,15.050,1538,1177,111.2,48.73,8.814,1.8,0.6,1.079,31.87,0.03087,36.18,8.501,15.71,35.04,30,11.25,31.99,91.14,38.49,20.29,0.5387,0.8473,0.7,0.2689,1
26,child4,child,2.9522,1.000,0.000,1.000,0.000,2.000,52.350,1.699,74.000,0.993,15.050,1451,1200,114.1,62.04,10.72,1.8,0.6,1.031,34.26,0.02137,27.89,8.869,14.04,34.84,24.91,12.01,43.98,68.77,38.64,19.61,0.5498,0.7672,0.7196,0.2455,0.9987
26,child5,child,6.6959,2.000,0.000,2.000,0.000,3.000,76.100,1.887,76.000,1.047,15.050,1600,1169,126.5,56.12,7.724,1.8,0.6,0.9025,32.53,0.01791,29.34,9.647,12.73,38.4,23.68,12.7,43.33,74.73,35.29,20.2,0.5186,0.802,0.7,0.2717,1
26,child6,child,6.7818,2.000,0.000,2.000,0.000,3.000,75.950,1.886,67.000,1.053,15.050,1542,979.2,101.4,61.57,8.647,1.8,0.7645,0.8222,36.58,0.01509,35.59,10.11,11.15,29.69,26.11,9.985,41.48,65.45,41.23,25.52,0.4023,0.9,0.7,0.2572,0.863
26,child7,child,6.6959,2.000,0.000,2.000,0.000,3.000,76.100,1.887,76.000,1.047,15.050,1600,1004,116.5,71.04,8.95,1.767,0.6,1.097,38.06,0.02111,24.77,9.408,13.08,31.85,30,10.47,52.47,91.79,46.58,18.09,0.5404,0.9,0.7464,0.2542,1
27,parent,parent,8.2362,2.000,0.000,2.000,0.000,3.000,152.450,2.786,79.000,1.160,19.000,1542,979.2,101.4,61.57,8.647,1.8,0.7645,0.8222,36.58,0.01509,35.59,10.11,11.15,29.69,26.11,9.985,41.48,65.45,41.23,25.52,0.4023,0.9,0.7,0.2572,0.863
27,child0,child,8.6992,2.000,0.000,2.000,0.000,3.000,152.267,2.800,66.000,1.113,15.750,1393,1113,103.8,52.68,10.24,1.677,0.7607,0.795,32.6,0.01676,38.7,10.16,9.969,30.81,24.8,9.1,40.33,72.96,47.74,30,0.4486,0.9,0.7,0.2391,0.8
