gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,ClearScore,ChaseBaseScore,HoldBaseScore,CommitmentBonus,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth,DefendDepthDefender,DefendDepthMidfielder,DefendDepthForward,DefendBallPull,GKChaseGoalDistance,GKChaseBallDistance,GKLineOffset,GKTrackLerp
10,child4,child,6.1870,3.000,0.000,3.000,3.000,-2.000,-100.667,1.462,115.000,1.873,12.933,1563,2159,100.6,91.23,8.43,1.8,0.6,1.214,33.13,0.01847,21.82,11.32,32.42,23.01,29.39,13.78,77.16,107.6,60.4,20.82,0.4419,0.6373,0.9632,0.7779,0.8913,0.2657,0.4093,0.85,0.09794,695.5,800,98.46,0.3009
10,child5,child,-9.8206,0.000,1.000,-1.000,-1.000,-2.000,-17.800,-0.030,295.000,3.147,22.850,1600,2111,133,109.4,10.03,1.717,0.7619,1.025,35.41,0.02323,19.69,10.08,31.93,22.38,28.74,12.21,78.6,110,49.18,28.36,0.4953,0.6922,0.9153,0.7026,0.9391,0.2079,0.4301,0.8198,0.1321,633.7,776.4,105.8,0.3346
10,child6,child,6.5470,5.000,0.000,5.000,1.000,-2.000,-88.883,0.655,468.000,3.993,20.233,1600,2328,123.5,75.47,11.41,1.576,0.7009,1.205,38.83,0.02102,21.03,8.742,35.71,24.37,30,12.64,69.87,94.98,53.55,20.4,0.4051,0.7692,0.9237,0.7126,0.9607,0.2411,0.3991,0.7286,0.117,617.8,800,96.95,0.2863
10,child7,child,4.7400,3.000,0.000,3.000,-2.000,3.000,-36.117,0.501,207.000,2.467,10.717,1600,2194,97.28,107.3,9.307,1.703,0.7686,1.182,36.67,0.01877,24.15,9.224,37.03,20,29.97,15.96,64.46,110,49.68,20.33,0.35,0.7189,0.7684,0.8,0.8397,0.2994,0.5021,0.7679,0.1262,719.6,756.4,119.1,0.3382
11,parent,parent,5.7139,3.000,0.000,3.000,7.000,-1.000,-140.500,1.116,253.000,2.473,15.567,1600,2020,128.8,90.75,9.728,1.416,0.6,1.3,42.57,0.02339,18.2,8.734,34.19,25.45,22.88,14.8,76.91,103.7,58.31,20.18,0.35,0.757,0.9107,0.7407,0.9153,0.2045,0.3962,0.7697,0.1223,489.2,800,110.3,0.3353
11,child0,child,4.6881,1.000,0.000,1.000,11.000,6.000,-1.667,0.009,385.000,3.113,8.217,1600,2387,107.4,107,9.423,1.328,0.7594,1.3,42.58,0.0209,18.59,10.51,36.45,28.6,19.87,13.73,70.97,110,74.29,18.45,0.3544,0.7379,0.8591,0.8,0.9245,0.2065,0.3472,0.85,0.1373,603.6,800,85.12,0.3073
11,child1,child,-6.9232,1.000,1.000,0.000,-1.000,-2.000,-111.600,0.200,233.000,2.960,12.650,1428,1998,123.4,66.6,9.045,1.235,0.6783,1.3,36.64,0.02239,17.38,7.601,38.65,21.85,19.68,14.55,62.49,110,47.02,17.04,0.3687,0.7769,0.8202,0.636,0.8397,0.1957,0.4114,0.8004,0.1178,527.4,740.4,85.7,0.4362
11,child2,child,18.5118,3.000,0.000,3.000,32.000,9.000,98.017,0.322,792.000,5.847,19.050,1332,1963,103.9,93.9,9.04,1.607,0.6415,1.093,45.08,0.02273,16.52,8.568,33.95,20.08,24.61,19.21,75.45,101.2,54.34,19.66,0.3767,0.7779,0.873,0.7165,1,0.1971,0.4048,0.6319,0.1235,545.4,800,105.5,0.3268
11,child3,child,9.6319,4.000,0.000,4.000,6.000,1.000,-3.300,0.828,348.000,4.013,20.350,1600,2001,101.2,87.54,11.92,1.194,0.6,1.152,41.71,0.02532,18.06,8.389,37.59,26.5,25.23,12.46,92.81,105.8,61.44,16.91,0.35,0.6912,0.7249,0.7811,0.8144,0.1593,0.4008,0.85,0.09502,480.3,778.6,99.95,0.3345
11,child4,child,-16.1843,1.000,0.000,1.000,-2.000,-2.000,-119.367,-0.699,224.000,2.740,125.333,1541,2208,146,86.29,10.9,1.273,0.6,1.025,36.35,0.02216,14.05,7.961,35.03,27.44,22.18,14.19,71.56,110,62.21,21.67,0.35,0.7431,0.8504,0.6884,0.9253,0.2037,0.4625,0.7813,0.1357,457.3,800,90.44,0.4142
