gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,PassBoomerangSeconds,PassFailMemorySeconds,PassFailPenaltyFactor,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,DribbleEnterMargin,DribbleCommitSeconds,DribbleEnterMaxBallSpeed,ScrambleRadius,ScramblePlayers,ScrambleMinBallSpeed,ScramblePersistSeconds,ContestCommitSeconds,ClearScore,ChaseBaseScore,ChaseDesignationBonus,ChaseNonDesignatedPenalty,ChaseReassignMargin,ScrambleReassignMargin,HoldBaseScore,ActionCommitMargin,PostPassCommitSeconds,CoverOffsetDistance,CoverScore,CoverReassignMargin,PassOfferRunDepth,PassOfferRunWidth,PassOfferReassignMargin,AttackBallPull,AttackMinSpacing,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth,DefendDepthDefender,DefendDepthMidfielder,DefendDepthForward,DefendBallPull,GKChaseGoalDistance,GKChaseBallDistance,GKLineOffset,GKTrackLerp,GKShotDetectSpeed,GKDiveBurst,GKAdvanceMax,GKCloseDownLerp
25,child7,child,129.7077,36.000,2.000,34.000,136.000,21.000,187.933,2.797,4184.000,28.427,49.667,1312,2341,211.8,117.6,4.976,2,0.5073,1.5,10.04,0.01369,12.33,12.49,22.95,1.162,20,0.2115,30.25,40.19,9.926,1.964,0.2403,1401,183.2,3.21,208.1,1.768,2.344,31.62,72.36,10.33,3.212,115.2,414.7,36.33,5.596,1.679,158.8,98.6,133.6,890,431.5,111.3,0.1176,306.2,0.6877,0.6873,0.6548,0.554,0.8462,0.5041,0.1394,1,0.117,606,1200,37.68,0.7556,712.2,1.728,275.4,0.7389
25,child8,child,123.6450,39.000,1.000,38.000,110.000,15.000,130.117,2.335,4547.000,24.280,42.267,1139,2524,213.4,120,4.683,2,0.5878,1.397,10.46,0.0135,10.26,14.79,24.28,1.488,20,0.1913,38.99,29.06,9.083,2.423,0.3437,1535,239.3,3.171,300.1,1.587,2.459,25.75,65.22,9.868,3.725,121.7,342.7,48.83,7.361,1.309,160.6,100,153.2,761.3,403.4,101.7,0.1467,244.5,0.6427,0.509,0.8183,0.5193,0.9077,0.4432,0.1291,1,0.1326,694.1,1200,28.61,0.7805,688.4,1.564,340.4,0.631
25,child9,child,68.1318,17.000,0.000,17.000,104.000,9.000,104.217,-2.620,3132.000,15.807,45.417,1221,2777,159.8,120,4.756,2,0.5423,1.5,10.79,0.01586,12.63,11.23,22.25,1.04,20,0.2223,29.62,24.64,9.876,2.395,0.3487,1327,249.7,3.292,221.9,1.739,2.14,24.58,59.38,12.38,6.053,130.6,336.6,42.4,5.074,1.518,175.7,100,130.2,733.6,371.1,102.2,0.1647,252.1,0.6394,0.5491,0.8984,0.5809,0.8868,0.6,0.1243,1,0.1506,672.4,1200,42.07,0.7065,683.5,1.624,344.6,0.786
25,child10,child,120.4394,38.000,3.000,35.000,117.000,23.000,133.400,2.943,4227.000,28.100,67.200,1128,2303,194.8,120,3.711,1.984,0.4839,1.5,10,0.01548,13.12,11.72,24.73,1.22,18.25,0.2507,33.21,34.62,8.35,2.541,0.3721,1625,233,3.216,209.1,1.461,2.5,25.7,72.53,10.84,3.782,131.4,366.4,36.01,4.442,1.501,236.1,92.78,154,761.7,432.2,99.29,0.1652,291.6,0.644,0.622,0.7813,0.5286,0.9546,0.4422,0.1203,0.9883,0.1195,712.7,1200,35.42,0.7494,680.4,1.625,325.8,0.638
25,child11,child,104.0414,26.000,1.000,25.000,138.000,31.000,115.450,0.971,4060.000,25.547,57.983,1353,2362,197.2,120,4.767,2,0.5102,1.5,10.67,0.01592,10.01,10.74,22.8,1.058,20,0.2006,30.95,23.11,8.908,2.682,0.393,1582,243,3,229.9,1.654,2.5,22.65,67.88,11.61,5.264,119.1,296.5,34.86,4.488,1.309,189.4,100,169.1,788.5,483.2,116.8,0.1483,355.9,0.7684,0.5899,0.5876,0.5449,0.9353,0.407,0.1222,1,0.1111,614.6,1200,34.46,0.8,791,1.644,309.2,0.68
25,child12,child,95.1681,33.000,1.000,32.000,78.000,11.000,134.650,3.846,3964.000,24.427,45.650,1431,1775,220,96.17,4.827,2,0.4674,1.289,11.41,0.01554,13.36,12.58,23.22,1.306,17.08,0.1847,33.97,30.54,8.544,2.113,0.323,1354,245.9,3.037,251,1.164,2.5,20,69.55,10.47,4.661,133.2,308.6,41.87,6.077,1.942,211.4,100,147.1,746.8,483.7,119.3,0.1353,295.6,0.7721,0.6876,0.7506,0.4768,1,0.4479,0.1321,0.8553,0.1415,735.7,1131,37.59,0.7207,718.7,1.582,325.4,0.6684
25,child13,child,94.0586,32.000,1.000,31.000,94.000,6.000,-14.833,2.754,4214.000,22.820,38.000,1369,2447,186.5,120,4.642,1.975,0.4503,1.32,10,0.01546,13.75,10.86,20.89,1.162,15.01,0.2317,31.39,28.99,9.921,2.442,0.3756,1380,230.8,3.852,244.2,1.858,2.5,21.2,58.03,10.48,3.711,130.7,338.4,43.57,4.995,1.424,239.4,98.46,144.3,1027,514,91.93,0.1369,252.2,0.7895,0.5488,0.9092,0.5547,1,0.4898,0.1697,1,0.1005,650,1200,36.63,0.5827,733.2,1.5,275.9,0.7365
25,child14,child,102.5626,38.000,3.000,35.000,100.000,5.000,19.850,2.818,4593.000,26.387,66.750,1355,1805,183.5,116.3,4.783,2,0.5058,1.233,10.89,0.01497,11.59,17.3,21.75,1.45,17.4,0.1885,24.01,32.63,8.236,1.995,0.3111,1573,239.8,3.44,253.5,1.856,2.418,29.95,73.69,10.12,3.357,146,440.3,44.01,4.602,1.638,195.5,100,154.4,840.9,484.6,118.6,0.1682,257.8,0.6356,0.6235,0.742,0.532,0.8355,0.5119,0.1248,1,0.1334,672.7,1019,36.14,0.7577,585.5,1.79,274.7,0.7943
25,child15,child,141.7199,40.000,0.000,40.000,143.000,16.000,146.633,1.926,4958.000,26.573,46.383,1459,2726,197,111,7.004,1.643,0.5938,1.316,10.36,0.01431,14.11,12.13,25.42,1.295,20,0.1971,31.89,29.71,10.24,2.038,0.3306,1471,191,3,186.6,1.381,2.5,26.61,68.64,13.61,3.454,136.5,434,43.01,4.838,1.306,171.6,100,135.7,659.4,367.7,105.3,0.1695,275.8,0.7829,0.6176,0.8078,0.5639,1,0.483,0.1433,0.9678,0.125,630.4,1200,34.74,0.6907,689.4,1.5,278,0.6641
26,parent,parent,120.4124,32.000,2.000,30.000,134.000,59.000,354.733,0.958,4829.000,25.480,51.233,1339,2492,203.8,120,4.907,2,0.5198,1.5,10,0.01399,12.17,11.41,23.75,1.228,19.98,0.221,33.86,27.27,9.185,2.194,0.3202,1413,233.8,3.045,219.5,1.675,2.5,24.95,65.46,10.93,4.24,126.2,356.9,40.25,5.151,1.487,196.1,99.68,141.3,789.8,428.5,105.7,0.1505,308.6,0.7034,0.5993,0.7717,0.5465,1,0.4648,0.133,1,0.1285,635.1,1200,36.21,0.7068,706,1.5,309.7,0.7586
